,Date,Coal_Future_Price
621,2013-09-15,77.0
622,2013-09-16,76.9
623,2013-09-17,77.7
624,2013-09-18,78.15
625,2013-09-19,78.0
626,2013-09-20,77.7
627,2013-09-21,77.7
628,2013-09-22,77.7
629,2013-09-23,78.3
630,2013-09-24,78.3
631,2013-09-25,78.45
632,2013-09-26,78.45
633,2013-09-27,78.3
634,2013-09-28,78.3
635,2013-09-29,78.3
636,2013-09-30,82.6
637,2013-10-01,81.6
638,2013-10-02,82.55
639,2013-10-03,82.4
640,2013-10-04,82.9
641,2013-10-05,82.9
642,2013-10-06,82.9
643,2013-10-07,83.05
644,2013-10-08,82.8
645,2013-10-09,82.7
646,2013-10-10,82.8
647,2013-10-11,82.4
648,2013-10-12,82.4
649,2013-10-13,82.4
650,2013-10-14,82.5
651,2013-10-15,82.4
652,2013-10-16,82.8
653,2013-10-17,83.45
654,2013-10-18,83.7
655,2013-10-19,83.7
656,2013-10-20,83.7
657,2013-10-21,83.8
658,2013-10-22,83.8
659,2013-10-23,83.75
660,2013-10-24,83.9
661,2013-10-25,83.95
662,2013-10-26,83.95
663,2013-10-27,83.95
664,2013-10-28,86.4
665,2013-10-29,86.25
666,2013-10-30,85.75
667,2013-10-31,83.75
668,2013-11-01,83.1
669,2013-11-02,83.1
670,2013-11-03,83.1
671,2013-11-04,83.05
672,2013-11-05,83.25
673,2013-11-06,84.0
674,2013-11-07,84.35
675,2013-11-08,84.05
676,2013-11-09,84.05
677,2013-11-10,84.05
678,2013-11-11,84.1
679,2013-11-12,83.25
680,2013-11-13,83.15
681,2013-11-14,83.4
682,2013-11-15,83.8
683,2013-11-16,83.8
684,2013-11-17,83.8
685,2013-11-18,83.75
686,2013-11-19,83.85
687,2013-11-20,84.5
688,2013-11-21,84.4
689,2013-11-22,84.4
690,2013-11-23,84.4
691,2013-11-24,84.4
692,2013-11-25,84.05
693,2013-11-26,84.45
694,2013-11-27,84.35
695,2013-11-28,84.5
696,2013-11-29,84.4
697,2013-11-30,84.4
698,2013-12-01,84.4
699,2013-12-02,82.25
700,2013-12-03,82.25
701,2013-12-04,81.95
702,2013-12-05,82.6
703,2013-12-06,83.35
704,2013-12-07,83.35
705,2013-12-08,83.35
706,2013-12-09,83.65
707,2013-12-10,84.6
708,2013-12-11,85.15
709,2013-12-12,85.8
710,2013-12-13,85.9
711,2013-12-14,85.9
712,2013-12-15,85.9
713,2013-12-16,85.45
714,2013-12-17,85.3
715,2013-12-18,85.2
716,2013-12-19,84.95
717,2013-12-20,85.0
718,2013-12-21,85.0
719,2013-12-22,85.0
720,2013-12-23,84.9
721,2013-12-24,84.9
722,2013-12-25,84.9
723,2013-12-26,84.9
724,2013-12-27,85.05
725,2013-12-28,85.05
726,2013-12-29,85.05
727,2013-12-30,81.75
728,2013-12-31,81.55
729,2014-01-01,81.55
730,2014-01-02,80.75
731,2014-01-03,79.5
732,2014-01-04,79.5
733,2014-01-05,79.5
734,2014-01-06,79.75
735,2014-01-07,79.6
736,2014-01-08,81.9
737,2014-01-09,84.0
738,2014-01-10,83.6
739,2014-01-11,83.6
740,2014-01-12,83.6
741,2014-01-13,83.9
742,2014-01-14,83.8
743,2014-01-15,84.4
744,2014-01-16,84.5
745,2014-01-17,84.35
746,2014-01-18,84.35
747,2014-01-19,84.35
748,2014-01-20,84.0
749,2014-01-21,83.8
750,2014-01-22,83.35
751,2014-01-23,83.25
752,2014-01-24,83.3
753,2014-01-25,83.3
754,2014-01-26,83.3
755,2014-01-27,83.3
756,2014-01-28,83.3
757,2014-01-29,83.25
758,2014-01-30,83.2
759,2014-01-31,83.2
760,2014-02-01,83.2
761,2014-02-02,83.2
762,2014-02-03,79.65
763,2014-02-04,79.45
764,2014-02-05,80.15
765,2014-02-06,80.05
766,2014-02-07,79.4
767,2014-02-08,79.4
768,2014-02-09,79.4
769,2014-02-10,79.05
770,2014-02-11,79.3
771,2014-02-12,79.4
772,2014-02-13,79.15
773,2014-02-14,79.3
774,2014-02-15,79.3
775,2014-02-16,79.3
776,2014-02-17,78.8
777,2014-02-18,78.65
778,2014-02-19,77.8
779,2014-02-20,77.55
780,2014-02-21,77.4
781,2014-02-22,77.4
782,2014-02-23,77.4
783,2014-02-24,77.15
784,2014-02-25,77.1
785,2014-02-26,77.1
786,2014-02-27,77.1
787,2014-02-28,77.1
788,2014-03-01,77.1
789,2014-03-02,77.1
790,2014-03-03,74.3
791,2014-03-04,73.25
792,2014-03-05,73.15
793,2014-03-06,73.75
794,2014-03-07,73.7
795,2014-03-08,73.7
796,2014-03-09,73.7
797,2014-03-10,73.6
798,2014-03-11,74.75
799,2014-03-12,75.35
800,2014-03-13,75.45
801,2014-03-14,75.65
802,2014-03-15,75.65
803,2014-03-16,75.65
804,2014-03-17,75.9
805,2014-03-18,75.5
806,2014-03-19,75.4
807,2014-03-20,75.2
808,2014-03-21,75.4
809,2014-03-22,75.4
810,2014-03-23,75.4
811,2014-03-24,75.35
812,2014-03-25,75.1
813,2014-03-26,75.1
814,2014-03-27,75.1
815,2014-03-28,75.2
816,2014-03-29,75.2
817,2014-03-30,75.2
818,2014-03-31,77.55
819,2014-04-01,77.05
820,2014-04-02,76.15
821,2014-04-03,76.45
822,2014-04-04,76.2
823,2014-04-05,76.2
824,2014-04-06,76.2
825,2014-04-07,76.65
826,2014-04-08,76.05
827,2014-04-09,76.0
828,2014-04-10,76.8
829,2014-04-11,76.7
830,2014-04-12,76.7
831,2014-04-13,76.7
832,2014-04-14,76.95
833,2014-04-15,77.25
834,2014-04-16,77.5
835,2014-04-17,76.85
836,2014-04-18,76.85
837,2014-04-19,76.85
838,2014-04-20,76.85
839,2014-04-21,76.85
840,2014-04-22,76.75
841,2014-04-23,76.85
842,2014-04-24,76.8
843,2014-04-25,76.85
844,2014-04-26,76.85
845,2014-04-27,76.85
846,2014-04-28,76.65
847,2014-04-29,76.15
848,2014-04-30,75.05
849,2014-05-01,74.9
850,2014-05-02,75.0
851,2014-05-03,75.0
852,2014-05-04,75.0
853,2014-05-05,75.0
854,2014-05-06,75.3
855,2014-05-07,74.85
856,2014-05-08,75.15
857,2014-05-09,75.25
858,2014-05-10,75.25
859,2014-05-11,75.25
860,2014-05-12,75.0
861,2014-05-13,75.1
862,2014-05-14,75.3
863,2014-05-15,75.3
864,2014-05-16,75.25
865,2014-05-17,75.25
866,2014-05-18,75.25
867,2014-05-19,75.1
868,2014-05-20,74.9
869,2014-05-21,74.95
870,2014-05-22,75.1
871,2014-05-23,75.0
872,2014-05-24,75.0
873,2014-05-25,75.0
874,2014-05-26,75.0
875,2014-05-27,74.8
876,2014-05-28,74.8
877,2014-05-29,74.8
878,2014-05-30,74.75
879,2014-05-31,74.75
880,2014-06-01,74.75
881,2014-06-02,74.2
882,2014-06-03,74.15
883,2014-06-04,73.9
884,2014-06-05,72.95
885,2014-06-06,72.75
886,2014-06-07,72.75
887,2014-06-08,72.75
888,2014-06-09,72.75
889,2014-06-10,72.7
890,2014-06-11,72.6
891,2014-06-12,72.6
892,2014-06-13,72.9
893,2014-06-14,72.9
894,2014-06-15,72.9
895,2014-06-16,73.05
896,2014-06-17,72.8
897,2014-06-18,72.55
898,2014-06-19,72.65
899,2014-06-20,72.5
900,2014-06-21,72.5
901,2014-06-22,72.5
902,2014-06-23,72.4
903,2014-06-24,72.25
904,2014-06-25,72.4
905,2014-06-26,72.35
906,2014-06-27,72.35
907,2014-06-28,72.35
908,2014-06-29,72.35
909,2014-06-30,73.2
910,2014-07-01,73.45
911,2014-07-02,73.25
912,2014-07-03,72.8
913,2014-07-04,72.85
914,2014-07-05,72.85
915,2014-07-06,72.85
