,Date,Industrial_prod
4117,2018-08-08,105.7909
4118,2018-08-09,105.7909
4119,2018-08-10,105.7909
4120,2018-08-11,105.7909
4121,2018-08-12,105.7909
4122,2018-08-13,105.7909
4123,2018-08-14,105.7909
4124,2018-08-15,105.7909
4125,2018-08-16,105.7909
4126,2018-08-17,105.7909
4127,2018-08-18,105.7909
4128,2018-08-19,105.7909
4129,2018-08-20,105.7909
4130,2018-08-21,105.7909
4131,2018-08-22,105.7909
4132,2018-08-23,105.7909
4133,2018-08-24,105.7909
4134,2018-08-25,105.7909
4135,2018-08-26,105.7909
4136,2018-08-27,105.7909
4137,2018-08-28,105.7909
4138,2018-08-29,105.7909
4139,2018-08-30,105.7909
4140,2018-08-31,105.7909
4141,2018-09-01,104.9887
4142,2018-09-02,104.9887
4143,2018-09-03,104.9887
4144,2018-09-04,104.9887
4145,2018-09-05,104.9887
4146,2018-09-06,104.9887
4147,2018-09-07,104.9887
4148,2018-09-08,104.9887
4149,2018-09-09,104.9887
4150,2018-09-10,104.9887
4151,2018-09-11,104.9887
4152,2018-09-12,104.9887
4153,2018-09-13,104.9887
4154,2018-09-14,104.9887
4155,2018-09-15,104.9887
4156,2018-09-16,104.9887
4157,2018-09-17,104.9887
4158,2018-09-18,104.9887
4159,2018-09-19,104.9887
4160,2018-09-20,104.9887
4161,2018-09-21,104.9887
4162,2018-09-22,104.9887
4163,2018-09-23,104.9887
4164,2018-09-24,104.9887
4165,2018-09-25,104.9887
4166,2018-09-26,104.9887
4167,2018-09-27,104.9887
4168,2018-09-28,104.9887
4169,2018-09-29,104.9887
4170,2018-09-30,104.9887
4171,2018-10-01,104.8884
4172,2018-10-02,104.8884
4173,2018-10-03,104.8884
4174,2018-10-04,104.8884
4175,2018-10-05,104.8884
4176,2018-10-06,104.8884
4177,2018-10-07,104.8884
4178,2018-10-08,104.8884
4179,2018-10-09,104.8884
4180,2018-10-10,104.8884
4181,2018-10-11,104.8884
4182,2018-10-12,104.8884
4183,2018-10-13,104.8884
4184,2018-10-14,104.8884
4185,2018-10-15,104.8884
4186,2018-10-16,104.8884
4187,2018-10-17,104.8884
4188,2018-10-18,104.8884
4189,2018-10-19,104.8884
4190,2018-10-20,104.8884
4191,2018-10-21,104.8884
4192,2018-10-22,104.8884
4193,2018-10-23,104.8884
4194,2018-10-24,104.8884
4195,2018-10-25,104.8884
4196,2018-10-26,104.8884
4197,2018-10-27,104.8884
4198,2018-10-28,104.8884
4199,2018-10-29,104.8884
4200,2018-10-30,104.8884
4201,2018-10-31,104.8884
4202,2018-11-01,102.9832
4203,2018-11-02,102.9832
4204,2018-11-03,102.9832
4205,2018-11-04,102.9832
4206,2018-11-05,102.9832
4207,2018-11-06,102.9832
4208,2018-11-07,102.9832
4209,2018-11-08,102.9832
4210,2018-11-09,102.9832
4211,2018-11-10,102.9832
4212,2018-11-11,102.9832
4213,2018-11-12,102.9832
4214,2018-11-13,102.9832
4215,2018-11-14,102.9832
4216,2018-11-15,102.9832
4217,2018-11-16,102.9832
4218,2018-11-17,102.9832
4219,2018-11-18,102.9832
4220,2018-11-19,102.9832
4221,2018-11-20,102.9832
4222,2018-11-21,102.9832
4223,2018-11-22,102.9832
4224,2018-11-23,102.9832
4225,2018-11-24,102.9832
4226,2018-11-25,102.9832
4227,2018-11-26,102.9832
4228,2018-11-27,102.9832
4229,2018-11-28,102.9832
4230,2018-11-29,102.9832
4231,2018-11-30,102.9832
4232,2018-12-01,103.986
4233,2018-12-02,103.986
4234,2018-12-03,103.986
4235,2018-12-04,103.986
4236,2018-12-05,103.986
4237,2018-12-06,103.986
4238,2018-12-07,103.986
4239,2018-12-08,103.986
4240,2018-12-09,103.986
4241,2018-12-10,103.986
4242,2018-12-11,103.986
4243,2018-12-12,103.986
4244,2018-12-13,103.986
4245,2018-12-14,103.986
4246,2018-12-15,103.986
4247,2018-12-16,103.986
4248,2018-12-17,103.986
4249,2018-12-18,103.986
4250,2018-12-19,103.986
4251,2018-12-20,103.986
4252,2018-12-21,103.986
4253,2018-12-22,103.986
4254,2018-12-23,103.986
4255,2018-12-24,103.986
4256,2018-12-25,103.986
4257,2018-12-26,103.986
4258,2018-12-27,103.986
4259,2018-12-28,103.986
4260,2018-12-29,103.986
4261,2018-12-30,103.986
4262,2018-12-31,103.986
4263,2019-01-01,103.6851
4264,2019-01-02,103.6851
4265,2019-01-03,103.6851
4266,2019-01-04,103.6851
4267,2019-01-05,103.6851
4268,2019-01-06,103.6851
4269,2019-01-07,103.6851
4270,2019-01-08,103.6851
4271,2019-01-09,103.6851
4272,2019-01-10,103.6851
4273,2019-01-11,103.6851
4274,2019-01-12,103.6851
4275,2019-01-13,103.6851
4276,2019-01-14,103.6851
4277,2019-01-15,103.6851
4278,2019-01-16,103.6851
4279,2019-01-17,103.6851
4280,2019-01-18,103.6851
4281,2019-01-19,103.6851
4282,2019-01-20,103.6851
4283,2019-01-21,103.6851
